cntry	Freq  VAP
ALB	1 2356975
AUS	4 18063010
AUT	2 7443978
BEL	3 8206762
BGR	2 5864631
BRA	4 152762054
CAN	4 28512041
CHE	4 6634505
CHL	3 13472122
CZE	5 8774665
DEU	6 67975700
DNK	3 4431291
ESP	4 39691061
EST	1 1017053
FIN	4 4079928
FRA	3 52211196
GBR	3 51329650
GRC	2 8960611
HKG	5 3814318
HRV	1 3564675
HUN	2 8083846
IRL	3 3706414
ISL	5 254202
ISR	4 5591000
ITA	1 52037314
JPN	4 102617759
KEN	1 25374082
KGZ	1 3682303
KOR	4 40193279
LVA	1 1577849
MEX	7 85801675
MNE	1 529076
NLD	4 13664324
NOR	5 4172659
NZL	5 3444750
PER	4 20909390
PHL	2 61728900
POL	5 31568464
PRT	4 8757878
ROU	4 17810217
RUS	3 114473081
SRB	1 5875839
SVK	2 4455753
SVN	4 1651708
SWE	4 7962006
THA	3 51152704
TUR	2 57547968
TWN	4 18906005
UKR	1 36363250
URY	1 2389639
USA	2 250293421
ZAF	2 34691652